horizon_hours,track,target,model,model_family,n_train,n_test,mae,rmse,r2,smape_pct,wape_pct,mase,fit_seconds,inference_ms_per_row
1,age,tim_F1_mean15,last_hour,time_series_baseline,2163,541,7.504,11.1533,0.3836,11.899,10.8761,0.6627,0.0,0.0083
1,age,tim_F2_mean15,ridge,feature_model,2163,541,21.1227,31.4922,0.4668,6.0266,5.7834,0.54,0.0042,0.0015
1,age,tim_F3_mean15,ridge,feature_model,2163,541,24.9335,36.4077,0.4962,5.7978,5.5875,0.5887,0.0041,0.0015
1,age,tim_F4_mean15,two_stage_ridge,feature_model,2163,541,34.491,51.4662,0.4341,5.4565,5.2056,0.6209,0.0182,0.0042
1,age,tim_F5_mean15,extra_trees,feature_model,2163,541,46.1953,63.6269,0.5896,5.5179,5.2701,0.6985,0.2719,0.0993
1,age,tim_F6_mean15,hist_gradient_boosting,feature_model,2163,541,36.7308,50.9175,0.5175,2.4052,2.3966,0.5769,0.2288,0.0099
1,flow,ingressi_borgo,extra_trees,feature_model,2163,541,18.8157,47.029,0.5509,55.7038,38.0562,0.733,0.4738,0.0994
1,flow,uscite_borgo,extra_trees,feature_model,2163,541,15.3625,27.8586,0.8267,51.5928,28.8701,0.5397,0.474,0.0994
1,nationality,tim_Ni_mean15,ridge,feature_model,2163,541,157.7613,247.0087,0.6051,3.4472,3.3263,0.6358,0.0042,0.0015
1,nationality,tim_Ns_mean15,extra_trees,feature_model,2163,541,11.9778,15.9928,0.627,10.0898,10.0806,0.3485,0.3837,0.1002
3,age,tim_F1_mean15,hist_gradient_boosting,feature_model,2137,535,10.0169,13.217,0.1414,15.6337,14.5345,0.8668,0.2269,0.01
3,age,tim_F2_mean15,extra_trees,feature_model,2137,535,28.2687,37.8159,0.2333,7.9503,7.7367,0.6985,0.2066,0.0817
3,age,tim_F3_mean15,extra_trees,feature_model,2137,535,35.3618,43.4366,0.2751,8.107,7.9154,0.8099,0.2048,0.0811
3,age,tim_F4_mean15,xgboost,feature_model,2137,535,47.0645,58.5785,0.2713,7.3025,7.1019,0.8123,0.0832,0.0037
3,age,tim_F5_mean15,random_forest,feature_model,2137,535,61.2075,81.1202,0.3348,7.254,6.98,0.8858,0.3205,0.0617
3,age,tim_F6_mean15,poisson,feature_model,2137,535,51.2056,73.192,0.0121,3.3698,3.3402,0.7753,0.0073,0.0016
3,flow,ingressi_borgo,extra_trees,feature_model,2137,535,17.6665,46.5544,0.5639,55.1343,35.5911,0.6695,0.254,0.1003
3,flow,uscite_borgo,extra_trees,feature_model,2137,535,18.365,38.0453,0.6797,54.4953,34.3734,0.6248,0.2528,0.1014
3,nationality,tim_Ni_mean15,extra_trees,feature_model,2137,535,237.1649,313.9321,0.3631,5.1294,4.9982,0.9052,0.2821,0.1025
3,nationality,tim_Ns_mean15,extra_trees,feature_model,2137,535,15.299,19.8296,0.4294,12.8517,12.858,0.4405,0.2933,0.1198
6,age,tim_F1_mean15,hist_gradient_boosting,feature_model,2118,531,10.7005,13.6713,0.0882,16.6645,15.5287,0.9334,0.2308,0.0103
6,age,tim_F2_mean15,ridge,feature_model,2118,531,31.3519,41.6315,0.0743,8.8879,8.5758,0.7806,0.0036,0.0015
6,age,tim_F3_mean15,random_forest,feature_model,2118,531,38.1882,47.9246,0.1191,8.776,8.5423,0.8791,0.2904,0.0621
6,age,tim_F4_mean15,log1p_ridge,feature_model,2118,531,52.0187,69.214,-0.012,8.0683,7.8456,0.8954,0.0039,0.0019
6,age,tim_F5_mean15,random_forest,feature_model,2118,531,74.9804,102.8521,-0.0641,8.7687,8.5471,1.0902,0.291,0.0624
6,age,tim_F6_mean15,rolling_mean_168h,time_series_baseline,2118,531,62.6759,77.7826,-0.1151,4.0991,4.0869,0.9505,0.0,0.005
6,flow,ingressi_borgo,extra_trees,feature_model,2118,531,19.776,47.2656,0.553,63.9436,39.709,0.7403,0.2811,0.1016
6,flow,uscite_borgo,extra_trees,feature_model,2118,531,20.9096,42.2702,0.6068,62.8249,38.9798,0.7023,0.2826,0.1008
6,nationality,tim_Ni_mean15,ridge,feature_model,2118,531,281.9715,373.8912,0.0999,6.0915,5.9398,1.0807,0.004,0.0016
6,nationality,tim_Ns_mean15,extra_trees,feature_model,2118,531,19.8406,25.1266,0.079,16.8583,16.6408,0.5709,0.2858,0.1015
12,age,tim_F1_mean15,dummy_median,feature_model,2090,526,10.8789,14.3768,-0.0087,16.7849,15.7923,0.9402,0.0002,0.0001
12,age,tim_F2_mean15,rolling_mean_168h,time_series_baseline,2090,526,34.1048,42.6785,0.029,9.5466,9.3202,0.8436,0.0,0.0049
12,age,tim_F3_mean15,rolling_mean_168h,time_series_baseline,2090,526,42.0359,52.3343,-0.047,9.5999,9.3955,0.962,0.0,0.0049
12,age,tim_F4_mean15,rolling_mean_168h,time_series_baseline,2090,526,55.3971,67.8761,0.0246,8.5565,8.3451,0.9404,0.0,0.0049
12,age,tim_F5_mean15,rolling_mean_168h,time_series_baseline,2090,526,79.6511,99.3789,0.0045,9.324,9.0704,1.1567,0.0,0.0048
12,age,tim_F6_mean15,rolling_mean_168h,time_series_baseline,2090,526,62.817,78.1805,-0.1288,4.1064,4.0942,0.9508,0.0,0.0049
12,flow,ingressi_borgo,extra_trees,feature_model,2090,526,21.9923,51.4467,0.4754,66.2982,44.2183,0.818,0.9038,0.1027
12,flow,uscite_borgo,random_forest,feature_model,2090,526,24.5919,45.4446,0.55,69.505,45.9335,0.8258,0.6179,0.083
12,nationality,tim_Ni_mean15,rolling_mean_168h,time_series_baseline,2090,526,318.6566,395.6419,-0.0081,6.8398,6.7075,1.2117,0.0,0.0049
12,nationality,tim_Ns_mean15,xgboost,feature_model,2090,526,20.7771,27.0677,-0.0638,17.71,17.4491,0.59,0.1023,0.0036
24,age,tim_F1_mean15,last_hour,time_series_baseline,2048,519,10.6716,14.8924,-0.0829,16.2737,15.5633,0.9501,0.0,0.0081
24,age,tim_F2_mean15,extra_trees,feature_model,2048,519,28.0726,35.6678,0.3338,7.8836,7.6933,0.701,0.2172,0.084
24,age,tim_F3_mean15,lightgbm,feature_model,2048,519,34.2094,43.9041,0.2875,7.8604,7.6712,0.7937,0.1035,0.0044
24,age,tim_F4_mean15,random_forest,feature_model,2048,519,43.0282,53.3415,0.4025,6.6957,6.4993,0.754,0.4628,0.0833
24,age,tim_F5_mean15,random_forest,feature_model,2048,519,58.1223,75.4659,0.4313,6.8497,6.64,0.8619,0.4706,0.0835
24,age,tim_F6_mean15,xgboost,feature_model,2048,519,50.9814,68.1651,0.1528,3.3227,3.3249,0.7765,0.1914,0.0045
24,flow,ingressi_borgo,xgboost,feature_model,2048,519,23.0604,53.741,0.4325,63.1152,45.7104,0.8772,0.2784,0.0055
24,flow,uscite_borgo,random_forest,feature_model,2048,519,24.9457,50.1578,0.4559,61.8019,46.0004,0.8704,0.5575,0.0834
24,nationality,tim_Ni_mean15,xgboost,feature_model,2048,519,201.7913,264.9875,0.5516,4.3662,4.259,0.7843,0.1145,0.0036
24,nationality,tim_Ns_mean15,last_hour,time_series_baseline,2048,519,18.1957,24.0776,0.1679,15.2004,15.3064,0.4965,0.0,0.0051
