horizon_hours,track,target,best_event_feature,best_event_rank,best_event_mean_abs_shap,top_feature,top_feature_group
1,nationality,tim_Ni_mean15,event_intensity_max_roll24h_mean,4,44.8114,tim_Tc_mean15_lag1h,tim
1,nationality,tim_Ns_mean15,event_intensity_max_roll24h_mean,4,1.1099,tim_Ns_mean15_lag1h,target_history
3,nationality,tim_Ni_mean15,event_sport_motor_intensity_roll24h_mean,1,78.7269,event_sport_motor_intensity_roll24h_mean,events
3,nationality,tim_Ns_mean15,event_sport_motor_intensity_lag24h,4,1.3654,tim_Ns_mean15_lag1h,target_history
3,age,tim_F1_mean15,event_intensity_max_roll24h_mean,2,1.5801,tim_F1_max15_roll24h_mean,target_history
3,age,tim_F2_mean15,event_sport_motor_active_lag24h,1,3.2887,event_sport_motor_active_lag24h,events
3,age,tim_F3_mean15,event_sport_motor_active_lag24h,3,8.7865,tim_F6_mean15_lag24h,target_history
3,age,tim_F4_mean15,event_sport_motor_intensity_roll24h_mean,3,6.6761,tim_F6_max15_lag1h,target_history
3,age,tim_F5_mean15,event_sport_motor_intensity_roll24h_mean,3,10.1535,tim_F6_max15_lag1h,target_history
3,age,tim_F6_mean15,event_sport_motor_active_lag24h,3,17.1898,tim_F6_max15_lag1h,target_history
6,flow,ingressi_borgo,event_weekend_event_active_roll6h_mean,5,4.6075,hour_sin,calendar
6,flow,uscite_borgo,event_weekend_event_active_roll6h_mean,5,5.5359,hour_sin,calendar
6,nationality,tim_Ni_mean15,event_intensity_max_roll24h_mean,3,94.2303,tim_Tc_mean15_lag1h,tim
6,nationality,tim_Ns_mean15,event_sport_motor_intensity_lag1h,5,1.0348,tim_Ns_max15_roll24h_mean,target_history
6,age,tim_F1_mean15,event_sport_motor_intensity_roll24h_mean,5,0.3937,tim_F1_max15_roll24h_mean,target_history
6,age,tim_F2_mean15,event_sport_motor_active_lag24h,2,9.4494,tim_F6_mean15_lag24h,target_history
6,age,tim_F3_mean15,event_sport_motor_active_lag24h,2,11.3302,tim_F6_mean15_lag24h,target_history
6,age,tim_F4_mean15,event_scale_max_roll24h_mean,2,11.4421,tim_F6_mean15_lag24h,target_history
6,age,tim_F5_mean15,event_sport_motor_intensity_roll24h_mean,1,14.2332,event_sport_motor_intensity_roll24h_mean,events
6,age,tim_F6_mean15,event_intensity_max_roll24h_mean,1,27.1513,event_intensity_max_roll24h_mean,events
12,nationality,tim_Ni_mean15,event_intensity_max,2,160.2016,tim_Gf_mean15_roll24h_mean,tim
12,nationality,tim_Ns_mean15,event_intensity_max,10,0.1413,tim_Ns_max15_roll24h_mean,target_history
12,age,tim_F1_mean15,event_sport_motor_active_lag1h,7,0.0,tim_F6_sum15_roll24h_mean,target_history
12,age,tim_F2_mean15,event_sport_motor_intensity_roll24h_mean,1,8.856,event_sport_motor_intensity_roll24h_mean,events
12,age,tim_F3_mean15,event_scale_max_roll24h_mean,7,5.1036,tim_Tb_max15_roll24h_mean,tim
12,age,tim_F4_mean15,event_intensity_max_roll24h_mean,8,1.8328,tim_P_max15_roll6h_mean,tim
12,age,tim_F5_mean15,event_sport_motor_intensity_roll24h_mean,1,19.7251,event_sport_motor_intensity_roll24h_mean,events
12,age,tim_F6_mean15,event_scale_max_roll24h_mean,6,5.2914,tim_F6_mean15_lag24h,target_history
24,nationality,tim_Ni_mean15,event_sport_motor_intensity_roll24h_mean,8,13.5588,tim_Tc_mean15_lag1h,tim
24,nationality,tim_Ns_mean15,event_sport_motor_intensity_lag1h,10,1.0503,meteo_erg5_tavg_mean_roll3h_mean,meteo
